australian_migration;Australian Migration;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
10NobelChemistry;10th Nobel Prize in Chemistry;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
10NobelLiterature;10th Nobel Prize in Literature;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
10NobelMedicine;10th Nobel Prize in Medicine;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
10NobelPeace;10th Nobel Peace Prize;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
10NobelPhysics;10th Nobel Prize in Physics;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
10OlympiadWinner;10th Olympiad Winner;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
10thNobelPhysicsReceived;10th Nobel Prize in Physics Received;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
11NobelChemistry;11th Nobel Prize in Chemistry;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
11NobelLiterature;11th Nobel Prize in Literature;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
11NobelMedicine;11th Nobel Prize in Medicine;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
11NobelPeace;11th Nobel Peace Prize;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
11NobelPhysics;11th Nobel Prize in Physics;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
11thNobelPhysicsReceived;11th Nobel Prize in Physics Received;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
12NobelChemistry;12th Nobel Prize in Chemistry;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
12NobelLiterature;12th Nobel Prize in Literature;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
12NobelMedicine;12th Nobel Prize in Medicine;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
12NobelPeace;12th Nobel Peace Prize;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
12NobelPhysics;12th Nobel Prize in Physics;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
12thNobelPhysicsReceived;12th Nobel Prize in Physics Received;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
13NobelChemistry;13th Nobel Prize in Chemistry;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
13NobelLiterature;13th Nobel Prize in Literature;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
13NobelMedicine;13th Nobel Prize in Medicine;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
13NobelPeace;13th Nobel Peace Prize;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
13NobelPhysics;13th Nobel Prize in Physics;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
13thNobelPhysicsReceived;13th Nobel Prize in Physics Received;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
1420_passed;1420 Passed;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
14NobelChemistry;14th Nobel Prize in Chemistry;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
14NobelLiterature;14th Nobel Prize in Literature;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
14NobelMedicine;14th Nobel Prize in Medicine;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
14NobelPeace;14th Nobel Peace Prize;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
14NobelPhysics;14th Nobel Prize in Physics;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
14thNobelPhysicsReceived;14th Nobel Prize in Physics Received;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
15NobelChemistry;15th Nobel Prize in Chemistry;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
15NobelLiterature;15th Nobel Prize in Literature;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
15NobelMedicine;15th Nobel Prize in Medicine;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
15NobelPeace;15th Nobel Peace Prize;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
15NobelPhysics;15th Nobel Prize in Physics;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
15thNobelPhysicsReceived;15th Nobel Prize in Physics Received;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
